¿#category,count
Monster,3085
MagicItem,1868
Location,1176
Spell,947
Subclass,619
NPC,569
Art,500
UA Content,500
Youtube,348
Influencer,320
Villain,312
Feat,270
Slang,242
Item,224
Faction,219
equipment,218
Deity,194
Search Trend,164
Combat Mechanics,148
Build,144
Convention,144
AI Tool,136
combat,126
core_mechanics,125
Third Party,117
Race,114
Procedural Generator,104
Background,102
Invocation,101
Unearthed Arcana,99
General Game Terms,88
Class,87
Combat,79
Accessory,79
Species,77
Roleplay & Narrative,76
Tool,74
Adventuring Gear,71
Character Building,68
Character Archetypes,64
Magic Terms,64
Community Lingo,64
Signature Spells,60
spellcasting,57
Editions & Rulesets,52
Combat Tactics,52
Actual Play,52
AI Art,52
character_creation,50
Mechanic,48
Artist,45
Art Subject,45
Ability Scores,44
Use Case,40
AI Image Generator,40
Kickstarter,39
Martial Melee,37
Build Name,36
Dice & Randomization,36
Usable Item,36
Map Generator,36
Condition,34
Rulebooks,32
Legal Reference,32
Feat Abbreviations,32
Storage & Organization,32
Community Learning,32
Vehicle,31
Equipment,29
DM Terms,28
Poison,28
Core Mechanic,28
Container,28
Movement,26
Map Type,25
Armor,25
Tokens & Condition Markers,24
Cartographer,24
Community Resource,24
Bastion,23
Character,22
Simple Melee,21
DM Guide,21
Prompt Template,20
Trade Good,20
Wearables & Apparel,20
Art Style Concept,20
Platforms & Publishers,20
Character Role,20
DIY & Craft Supplies,20
Specialized Generator,20
Character Creation,19
Skill,19
UA Class,18
Art Style,18
Spellcasting,17
DM Screens & Organization,16
Specialty & Luxury Items,16
Character & Player Aids,16
Magic Item,16
Oracle System,16
Hazard,16
AI DM Platform,16
Immersion & Atmosphere,16
Martial Ranged,16
Cards & Reference Materials,16
Adventure,15
Clothes,15
Equipment Pack,14
Environment,14
TTRPG System,14
UA Subclass,13
Damage Type,13
World Builder,12
Class Abbreviations,12
Currency,12
Settings & Worlds,12
Creature Generator,12
Digital Integration,12
Organization Tool,12
Resource Hub,12
Journals & Note-Taking,12
Prompt Database,12
Terrain & Environmental,12
Gemstone (10 gp),12
Gemstone (50 gp),12
Miniatures & Figures,12
Chatbot,12
Game Design,12
Battle Maps & Tactical Surfaces,12
NPC Generator,12
Story Generator,12
Accessibility,12
Novelty & Collectible Items,12
Area of Effect,11
Feature,11
Software,11
Arcane Focus,10
Competitor,10
Coin,10
Art Type,10
Map Style,10
Gemstone (100 gp),10
Action,9
Mount,9
Siege Equipment,9
Play Platform,9
Company Position,9
Faction Generator,8
Ammunition,8
History,8
General,8
Story Seed Generator,8
Shop Generator,8
Rules-Compliant Generator,8
Voice Generator,8
Location Generator,8
Gemstone (1000 gp),8
Monster Generator,8
Table Builder,8
Spell School,8
Setting Generator,8
Encounter Generator,8
Edition,8
Weapon Mastery,8
NPC/Dialogue Generator,8
Character Attribute,8
Treasure Generator,8
Token Generator,8
Druidic Focus,8
Simple Ranged,7
Exploration,7
Orders,7
Magic,7
Community Source,7
Religion,7
Lineage,7
Facilities,6
Downtime,6
Size,6
Gemstone (500 gp),6
Holy Symbol,6
Vision,5
Game Entity,5
Sense,5
Concept,5
Magic Items,4
Proficiency,4
3D Character Builder,4
Asset Pack,4
Character Portrait Generator,4
Avatar Maker,4
Character Progression,4
Voice Integration,4
Dungeon Generator,4
Rest,4
VTT Platform,4
Character Creator,4
Gemstone (5000 gp),4
API/Tool,4
Defense,4
Party Generator,4
NPC Class,4
AI DM Bot,4
Supernatural Gift,4
AI DM Builder,4
Chatbot Preset,4
Status,4
AI Portrait Generator,4
Spells,3
Special Facility,3
Monsters,3
Artifact,3
Event,3
Cover,3
Foundry Module,3
Attitude,3
Saddle,3
Weapon,2
Play Structure,2
Creature Type,2
Social,2
Social Relationship,2
Explosive,2
Magical Effect,2
Monk,2
Character Trait,2
Quest,2
Organization,2
Service,1
UA Spell,1
Spells & Effects,1
" light",1
" keg",1
Object,1
Tack and Harness,1
" iron",1
000),1
" hunting",1
" fragmentation",1
" Two-person",1
Time,1
Classification,1
" Renaissance (10)",1
" Iron (10)",1
" Hemp (50 ft)",1
" Firearm (10)",1
 Draft,1
Sourcebook,1
Math,1
" Crossbow Bolt",1
Character Resource,1
Communication,1
Timing,1
Lore,1
Language,1
Campaign Structure,1
Advancement,1
Gameplay,1
Game Mechanic,1
Game Materials,1
VideoGame,1
Audio Creator,1
Resource,1
Artist (Tokens),1
Encumbrance,1
Encounter,1
UA Feat,1
RuleTerm,1
Creature,1
Physical,1
¿#"(0346c7b262db785b9f82b154e34994382565350e22file:///C:/Users/Yorri/.gemini/categories_full.csv:file:///C:/Users/Yorri/.gemini
