Keyword,Category,World,Source,Ruleset
Bearfolk,Race,Shadow Realm,Book of Ebon Tides,2014
Darakhul,Race,Shadow Realm,Book of Ebon Tides,2014
Shadow Fey,Race,Shadow Realm,Book of Ebon Tides,2014
Shadow Goblins,Race,Shadow Realm,Book of Ebon Tides,2014
Umbral Humans,Race,Shadow Realm,Book of Ebon Tides,2014
Quickstep,Race,Shadow Realm,Book of Ebon Tides,2014
Ratatosk,Race,Shadow Realm,Book of Ebon Tides,2014
Spiritfarer Erina,Race,Shadow Realm,Book of Ebon Tides,2014
Stygian Shade,Race,Shadow Realm,Book of Ebon Tides,2014
Sublime Ravenfolk,Race,Shadow Realm,Book of Ebon Tides,2014
Unbound Satarre,Race,Shadow Realm,Book of Ebon Tides,2014
Wyrd Gnome,Race,Shadow Realm,Book of Ebon Tides,2014
Circle of Shadows (Druid),Subclass,Shadow Realm,Book of Ebon Tides,2014
College of Shadow (Bard),Subclass,Shadow Realm,Book of Ebon Tides,2014
Keeper Domain (Cleric),Subclass,Shadow Realm,Book of Ebon Tides,2014
Light Weaver Sorcerous Origin (Sorcerer),Subclass,Shadow Realm,Book of Ebon Tides,2014
Mother of Sorrows (Warlock),Subclass,Shadow Realm,Book of Ebon Tides,2014
Shadow Arcane Tradition (Wizard),Subclass,Shadow Realm,Book of Ebon Tides,2014
Shadow Domain (Cleric),Subclass,Shadow Realm,Book of Ebon Tides,2014
Shadow Gnawer (Barbarian),Subclass,Shadow Realm,Book of Ebon Tides,2014
Umbral Binder (Rogue),Subclass,Shadow Realm,Book of Ebon Tides,2014
Way of the Prophet (Monk),Subclass,Shadow Realm,Book of Ebon Tides,2014
"Corremel, the City of Lanterns",Location,Shadow Realm,Book of Ebon Tides,2014
Court of Golden Oaks,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Mice and Ravens,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Midnight Teeth,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Night and Magic,Location,Shadow Realm,Book of Ebon Tides,2014
Court of One Million Stars,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Pale Roses,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Sparrows,Location,Shadow Realm,Book of Ebon Tides,2014
Court of the Moonlit King,Location,Shadow Realm,Book of Ebon Tides,2014
Court of Winter’s Love,Location,Shadow Realm,Book of Ebon Tides,2014
Dalliance,Location,Shadow Realm,Book of Ebon Tides,2014
Nightbrook,Location,Shadow Realm,Book of Ebon Tides,2014
Tower of Horn and Gold,Location,Shadow Realm,Book of Ebon Tides,2014
"Fandeval, City of Goblins",Location,Shadow Realm,Book of Ebon Tides,2014
Groves of the Wardens,Location,Shadow Realm,Book of Ebon Tides,2014
"Merrymead, City of Revels",Location,Shadow Realm,Book of Ebon Tides,2014
Moonlit Glades,Location,Shadow Realm,Book of Ebon Tides,2014
"Soriglass, City of Shades",Location,Shadow Realm,Book of Ebon Tides,2014
Tenebrous Plain,Location,Shadow Realm,Book of Ebon Tides,2014
Twilight Empire,Location,Shadow Realm,Book of Ebon Tides,2014
Bearfolk,Race,Shadow Realm,Book of Ebon Tides,2014
Bearfolk,Monster,Shadow Realm,Book of Ebon Tides,2014
Bearfolk Druid,Monster,Shadow Realm,Book of Ebon Tides,2014
Bearfolk Thunderstomper,Monster,Shadow Realm,Book of Ebon Tides,2014
Birch Siren,Monster,Shadow Realm,Book of Ebon Tides,2014
Darakhul General,Monster,Shadow Realm,Book of Ebon Tides,2014
