Keyword,Category,World,Source
Amethyst Academy,Faction,Drakkenheim,Monsters of Drakkenheim
Followers of the Falling Fire,Faction,Drakkenheim,Monsters of Drakkenheim
Queen’s Men,Faction,Drakkenheim,Monsters of Drakkenheim
Knights of the Silver Order,Faction,Drakkenheim,Monsters of Drakkenheim
Hooded Lanterns,Faction,Drakkenheim,Monsters of Drakkenheim
Academy Apprentice,Monster,Drakkenheim,Monsters of Drakkenheim
Academy Grandmaster,Monster,Drakkenheim,Monsters of Drakkenheim
Academy Mage,Monster,Drakkenheim,Monsters of Drakkenheim
Academy Outcast,Monster,Drakkenheim,Monsters of Drakkenheim
Agog,Monster,Drakkenheim,Monsters of Drakkenheim
The Algorithm,Monster,Drakkenheim,Monsters of Drakkenheim
Alienist,Monster,Drakkenheim,Monsters of Drakkenheim
Allopine,Monster,Drakkenheim,Monsters of Drakkenheim
Amalgamation,Monster,Drakkenheim,Monsters of Drakkenheim
Anomollusk,Monster,Drakkenheim,Monsters of Drakkenheim
Apex,Monster,Drakkenheim,Monsters of Drakkenheim
Arcane Wraith,Monster,Drakkenheim,Monsters of Drakkenheim
Beetle Knight,Monster,Drakkenheim,Monsters of Drakkenheim
Belfray,Monster,Drakkenheim,Monsters of Drakkenheim
Big Linda,Villain,Drakkenheim,Monsters of Drakkenheim
Bigger Linda,Villain,Drakkenheim,Monsters of Drakkenheim
Blackjack Mel,Villain,Drakkenheim,Monsters of Drakkenheim
Bloated Hive,Monster,Drakkenheim,Monsters of Drakkenheim
Blood Leech,Monster,Drakkenheim,Monsters of Drakkenheim
Mind Leech,Monster,Drakkenheim,Monsters of Drakkenheim
Spell Leech,Monster,Drakkenheim,Monsters of Drakkenheim
Body Snatcher,Monster,Drakkenheim,Monsters of Drakkenheim
Bojack,Villain,Drakkenheim,Monsters of Drakkenheim
Cacophonous Chimera,Monster,Drakkenheim,Monsters of Drakkenheim
Captain Ansom Lang,Villain,Drakkenheim,Monsters of Drakkenheim
Cerebrograft,Monster,Drakkenheim,Monsters of Drakkenheim
Chemist,Monster,Drakkenheim,Monsters of Drakkenheim
Chemystral,Monster,Drakkenheim,Monsters of Drakkenheim
Chitter,Villain,Drakkenheim,Monsters of Drakkenheim
Chorus,Monster,Drakkenheim,Monsters of Drakkenheim
Congregation,Monster,Drakkenheim,Monsters of Drakkenheim
Crater Wurm,Monster,Drakkenheim,Monsters of Drakkenheim
Crimson Countess,Villain,Drakkenheim,Monsters of Drakkenheim
Crimson Knight,Monster,Drakkenheim,Monsters of Drakkenheim
Dark Confessor,Monster,Drakkenheim,Monsters of Drakkenheim
Dark Growth,Monster,Drakkenheim,Monsters of Drakkenheim
Dark Growth Shambler,Monster,Drakkenheim,Monsters of Drakkenheim
Deep Dreg Warrior,Monster,Drakkenheim,Monsters of Drakkenheim
Deep Knight,Monster,Drakkenheim,Monsters of Drakkenheim
Deep Siren,Monster,Drakkenheim,Monsters of Drakkenheim
Delerium Dragons,Monster,Drakkenheim,Monsters of Drakkenheim
