Keyword,Category,World,Source
Tal’Dorei Council,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Arcana Pansophical,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
The Ashari,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Brawler’s League,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Chamber of Whitestone,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Claret Orders,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
The Clasp,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Golden Grin,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Houses of Kraghammer,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
League of Miracles,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Library of the Cobalt Soul,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
The Myriad,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
The Remnants,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Wardens of Syngorn,Faction,Exandria,Tal’Dorei Campaign Setting Reborn
Lucidian Coast,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Alabaster Sierras,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Dividing Plains,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Cliffkeep Mountains,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Stormcrest Mountains,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Rifenmist Peninsula,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Verdant Expanse,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Bladeshimmer Shoreline,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Other Lands of Exandria,Location,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari,Mechanic,Exandria,Tal’Dorei Campaign Setting Reborn
Clasp Member,Mechanic,Exandria,Tal’Dorei Campaign Setting Reborn
Lyceum Scholar,Mechanic,Exandria,Tal’Dorei Campaign Setting Reborn
Reformed Cultist,Mechanic,Exandria,Tal’Dorei Campaign Setting Reborn
Whitestone Rifle Corps,Mechanic,Exandria,Tal’Dorei Campaign Setting Reborn
Adranachs,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Adranach,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Master Adranach,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari Firetamer,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari Skydancer,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari Stoneguard,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ashari Waverider,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Cinderslag Elemental,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Clasp Operatives,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Clasp Cutthroat,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Clasp Enforcer,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Cold Snap Spirit,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Cyclops Stormcaller,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Demonfeed Spiders,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Demonfeed Spider,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Demonfeed Spiderling,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ember Roc,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Golems,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Cobalt Golem,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Forge Guardian,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Mage Hunter Golem,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Platinum Golem,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
"Jourrael, the Caedogeist",Villain,Exandria,Tal’Dorei Campaign Setting Reborn
Kraghammer Goat-Knight,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Goat-Knight Steeds,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Magma Landshark,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Young Magma Landshark,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Plainscow,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ravagers,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ravager Slaughter Lord,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Ravager Stabby-Stabber,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Remnants,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Remnant Chosen,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Remnant Cultist,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Rivermaw Warriors,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Rivermaw Brawler,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Rivermaw Stormborn,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Skeletons,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Centaur Skeleton,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Flaming Skeleton,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Vos’skyriss Serpentfolk,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Vos’skyriss Serpentfolk Ghost,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Wraithroot Tree,Monster,Exandria,Tal’Dorei Campaign Setting Reborn
Grog Strongjaw,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
"Keyleth, Voice of the Tempest",NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Percival de Rolo,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Vex’ahlia de Rolo,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Trinket,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Pike Trickfoot,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Scanlan Shorthalt,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Taryon Darrington,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Doty X,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
Champion of Ravens,NPC,Exandria,Tal’Dorei Campaign Setting Reborn
