Keyword,Category,World,Source
Dwendalian Empire,Faction,Exandria,Explorer's Guide to Wildemount
Kryn Dynasty,Faction,Exandria,Explorer's Guide to Wildemount
Cerberus Assembly,Faction,Exandria,Explorer's Guide to Wildemount
Clovis Concord,Faction,Exandria,Explorer's Guide to Wildemount
The Myriad,Faction,Exandria,Explorer's Guide to Wildemount
Children of Malice,Faction,Exandria,Explorer's Guide to Wildemount
Diarchy of Uthodurn,Faction,Exandria,Explorer's Guide to Wildemount
Tribes of Shadycreek Run,Faction,Exandria,Explorer's Guide to Wildemount
Library of the Cobalt Soul,Faction,Exandria,Explorer's Guide to Wildemount
Scars of Scale and Tooth,Faction,Exandria,Explorer's Guide to Wildemount
Claret Orders,Faction,Exandria,Explorer's Guide to Wildemount
Golden Grin,Faction,Exandria,Explorer's Guide to Wildemount
The Revelry,Faction,Exandria,Explorer's Guide to Wildemount
Menagerie Coast,Location,Exandria,Explorer's Guide to Wildemount
Marrow Valley,Location,Exandria,Explorer's Guide to Wildemount
Zemni Fields,Location,Exandria,Explorer's Guide to Wildemount
Greying Wildlands,Location,Exandria,Explorer's Guide to Wildemount
Eiselcross,Location,Exandria,Explorer's Guide to Wildemount
Wastes of Xhorhas,Location,Exandria,Explorer's Guide to Wildemount
Blightshore,Location,Exandria,Explorer's Guide to Wildemount
Distant Lands of Exandria,Location,Exandria,Explorer's Guide to Wildemount
Echo Knight,Subclass,Exandria,Explorer's Guide to Wildemount
Chronurgy Magic,Subclass,Exandria,Explorer's Guide to Wildemount
Graviturgy Magic,Subclass,Exandria,Explorer's Guide to Wildemount
Grinner,Mechanic,Exandria,Explorer's Guide to Wildemount
Volstrucker Agent,Mechanic,Exandria,Explorer's Guide to Wildemount
Aeorian Hunters,Monster,Exandria,Explorer's Guide to Wildemount
Blood Hunter,Monster,Exandria,Explorer's Guide to Wildemount
Core Spawn,Monster,Exandria,Explorer's Guide to Wildemount
Frost Giant Zombie,Monster,Exandria,Explorer's Guide to Wildemount
Frost Worm,Monster,Exandria,Explorer's Guide to Wildemount
Gearkeeper Construct,Monster,Exandria,Explorer's Guide to Wildemount
Gloomstalker,Monster,Exandria,Explorer's Guide to Wildemount
Horizonback Tortoise,Monster,Exandria,Explorer's Guide to Wildemount
Husk Zombie,Monster,Exandria,Explorer's Guide to Wildemount
Merrow Shallowpriest,Monster,Exandria,Explorer's Guide to Wildemount
Moorbounders,Monster,Exandria,Explorer's Guide to Wildemount
Nergaliid (Devil Toad),Monster,Exandria,Explorer's Guide to Wildemount
Sahuagin Warlock of Uk’otoa,Monster,Exandria,Explorer's Guide to Wildemount
Sea Fury,Monster,Exandria,Explorer's Guide to Wildemount
Shadowghast,Monster,Exandria,Explorer's Guide to Wildemount
Swavain Basilisk,Monster,Exandria,Explorer's Guide to Wildemount
Udaak,Monster,Exandria,Explorer's Guide to Wildemount
Menagerie Coast,Location,Exandria,Explorer's Guide to Wildemount
Port Damali,Location,Exandria,Explorer's Guide to Wildemount
Marrow Valley,Location,Exandria,Explorer's Guide to Wildemount
Zemni Fields,Location,Exandria,Explorer's Guide to Wildemount
Rexxentrum,Location,Exandria,Explorer's Guide to Wildemount
Greying Wildlands,Location,Exandria,Explorer's Guide to Wildemount
Eiselcross,Location,Exandria,Explorer's Guide to Wildemount
Wastes of Xhorhas,Location,Exandria,Explorer's Guide to Wildemount
Rosohna,Location,Exandria,Explorer's Guide to Wildemount
Blightshore,Location,Exandria,Explorer's Guide to Wildemount
Palma Flora,Location,Exandria,Explorer's Guide to Wildemount
Wavechaser,Location,Exandria,Explorer's Guide to Wildemount
Ruined Palma Flora,Location,Exandria,Explorer's Guide to Wildemount
Lower Hupperdook,Location,Exandria,Explorer's Guide to Wildemount
Ironlot Streets,Location,Exandria,Explorer's Guide to Wildemount
Nima Cinnarid’s House,Location,Exandria,Explorer's Guide to Wildemount
Silver Falls Cavern,Location,Exandria,Explorer's Guide to Wildemount
Stahlmast’s Lair,Location,Exandria,Explorer's Guide to Wildemount
Croaker Cave,Location,Exandria,Explorer's Guide to Wildemount
Salsvault,Location,Exandria,Explorer's Guide to Wildemount
Brokenveil Marsh,Location,Exandria,Explorer's Guide to Wildemount
Fort Venture,Location,Exandria,Explorer's Guide to Wildemount
