concept_name,action,category
The Rat King,APPROVE,Villain
The Remnants,APPROVE,Faction
The Revelry,APPROVE,Faction
The Rocborne,APPROVE,Species & Lineage
The Thaumaturge,APPROVE,NPC
The World Ender,APPROVE,Villain
Theldin,APPROVE,NPC
Thessalar,APPROVE,Villain
Thither,APPROVE,Location
Thunder Seal,APPROVE,Other
Thurstwell Vanthampur,APPROVE,NPC
Tiamat,APPROVE,Villain
Tide's Up,APPROVE,Other
Tixie Tockworth,APPROVE,Villain
Toadhop,APPROVE,Location
Tomb of Horrors,APPROVE,Rulebooks
Tomb of the Keeper,APPROVE,Location
Top of the World,APPROVE,Location
Torin,APPROVE,NPC
Torver's Post,APPROVE,Location
Tower of Horn and Gold,APPROVE,Location
Trail Warden,APPROVE,Monster
Trapper Guild,APPROVE,Faction
Treasure Hunter,APPROVE,Class
Tree of Treasure,APPROVE,Location
Treyvan von Hirnschmann,APPROVE,NPC
Trial and Error,APPROVE,Other
Trick Shot,APPROVE,Mechanic
Trinket,APPROVE,NPC
Truth or Scare,APPROVE,Other
Tuerny the Merciless,APPROVE,NPC
Tulgi Lutan,APPROVE,NPC
Tuval-Uthriar,APPROVE,NPC
Ularan Mortus,APPROVE,Villain
Ulsedra Vox,APPROVE,Villain
Umberlee,APPROVE,Deity
Umberlee's Maw,APPROVE,Location
Umbral Humans,APPROVE,Species & Lineage
Unbound Satarre,APPROVE,Species & Lineage
Undead Horde,APPROVE,Monster
Uni,APPROVE,NPC
Up in Smoke,APPROVE,Other
Urban Ranger,APPROVE,Subclass
Urgon Wenth,APPROVE,NPC
Vagol Kuskolt,APPROVE,NPC
Vairae,APPROVE,Deity
Vale of Shadows,APPROVE,Location
Vali,APPROVE,NPC
Valin Sarnaster,APPROVE,Villain
Valor's Call,APPROVE,Faction
Varrin Axebreaker,APPROVE,NPC
Varrox,APPROVE,NPC
Vecna,APPROVE,Villain
Vellynne Harpell,APPROVE,NPC
Velma Leicester,APPROVE,NPC
Venger,APPROVE,Villain
Verla Pelc,APPROVE,NPC
Vex'ahlia de Rolo,APPROVE,PC
Victory "Vic" Graves,APPROVE,NPC
Vidorant's Vault,APPROVE,Location
Vile Sazha,APPROVE,Villain
Vinx,APPROVE,NPC
Vivienn Dirroze,APPROVE,NPC
Vladimir von Drakken,APPROVE,Villain
Vogler,APPROVE,Location
Void Pirate Captain,APPROVE,Monster
Void Pirate Herald,APPROVE,Monster
Volstrucker Agent,APPROVE,Monster
Vulpin Berserker,APPROVE,Monster
Vulpin Buccaneer,APPROVE,Monster
Vulpin Captain,APPROVE,Monster
Vulpin Cult Fanatic,APPROVE,Monster
Vulpin Gloomweaver,APPROVE,Monster
Vulpin Noble,APPROVE,Monster
Vulpin Priest of Kren,APPROVE,Monster
