Category: All categories

Week,Champion 5e: (United States),Champion Dnd: (United States),Champion Dnd 5e: (United States)
2024-12-15,55,73,0
2024-12-22,73,69,0
2024-12-29,97,86,0
2025-01-05,81,63,0
2025-01-12,49,93,0
2025-01-19,70,0,52
2025-01-26,0,0,0
2025-02-02,96,63,0
2025-02-09,60,0,0
2025-02-16,54,52,0
2025-02-23,73,96,72
2025-03-02,89,96,58
2025-03-09,65,73,50
2025-03-16,69,60,0
2025-03-23,0,55,0
2025-03-30,82,72,0
2025-04-06,0,76,0
2025-04-13,58,63,0
2025-04-20,51,53,0
2025-04-27,53,54,0
2025-05-04,65,53,0
2025-05-11,60,59,0
2025-05-18,0,59,0
2025-05-25,0,68,0
2025-06-01,0,0,0
2025-06-08,93,73,0
2025-06-15,0,58,0
2025-06-22,0,0,0
2025-06-29,0,97,0
2025-07-06,53,0,0
2025-07-13,0,0,0
2025-07-20,62,58,0
2025-07-27,51,0,0
2025-08-03,76,76,0
2025-08-10,0,0,0
2025-08-17,72,72,0
2025-08-24,0,75,62
2025-08-31,0,0,0
2025-09-07,0,0,0
2025-09-14,86,57,66
2025-09-21,59,68,0
2025-09-28,68,87,0
2025-10-05,50,52,0
2025-10-12,0,0,0
2025-10-19,57,0,0
2025-10-26,67,0,0
2025-11-02,60,70,58
2025-11-09,0,57,0
2025-11-16,0,65,0
2025-11-23,0,100,0
2025-11-30,0,80,0
2025-12-07,53,65,19
2025-12-14,49,55,23
2025-12-21,60,64,0
