Category: All categories

Week,guidance 5e: (United States),guidance 2024: (United States),guidance rules change: (United States)
2024-12-15,1,1,0
2024-12-22,<1,<1,0
2024-12-29,<1,<1,0
2025-01-05,<1,1,0
2025-01-12,<1,1,0
2025-01-19,<1,1,0
2025-01-26,<1,1,0
2025-02-02,<1,1,0
2025-02-09,<1,1,0
2025-02-16,<1,1,0
2025-02-23,<1,1,0
2025-03-02,<1,1,0
2025-03-09,<1,1,0
2025-03-16,<1,1,0
2025-03-23,<1,1,0
2025-03-30,<1,1,0
2025-04-06,<1,1,0
2025-04-13,<1,1,0
2025-04-20,<1,<1,0
2025-04-27,<1,1,0
2025-05-04,<1,1,0
2025-05-11,<1,<1,0
2025-05-18,<1,<1,0
2025-05-25,<1,<1,0
2025-06-01,<1,1,0
2025-06-08,<1,1,0
2025-06-15,<1,1,0
2025-06-22,<1,1,0
2025-06-29,<1,1,0
2025-07-06,<1,1,0
2025-07-13,<1,11,0
2025-07-20,<1,29,0
2025-07-27,<1,55,0
2025-08-03,<1,24,0
2025-08-10,<1,17,0
2025-08-17,<1,1,0
2025-08-24,<1,2,0
2025-08-31,<1,3,0
2025-09-07,<1,2,0
2025-09-14,<1,3,0
2025-09-21,<1,4,0
2025-09-28,<1,5,0
2025-10-05,<1,3,0
2025-10-12,<1,1,0
2025-10-19,<1,2,0
2025-10-26,<1,35,<1
2025-11-02,1,97,<1
2025-11-09,<1,98,1
2025-11-16,1,100,<1
2025-11-23,<1,88,1
2025-11-30,<1,30,<1
2025-12-07,<1,5,<1
2025-12-14,<1,8,<1
