Row 19: Blacksmith 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Blacksmith'
Row 20: Blacksmith build | PROPOSED DROP | Too broad: generic English/D&D word 'Blacksmith'
Row 41: Bomber 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Bomber'
Row 42: Bomber build | PROPOSED DROP | Too broad: generic English/D&D word 'Bomber'
Row 51: Captain 2024 | PROPOSED DROP | Too broad: generic English/D&D word 'Captain'
Row 52: Captain 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Captain'
Row 53: Captain build | PROPOSED DROP | Too broad: generic English/D&D word 'Captain'
Row 59: Celebrity 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Celebrity'
Row 60: Celebrity build | PROPOSED DROP | Too broad: generic English/D&D word 'Celebrity'
Row 66: Chieftain 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Chieftain'
Row 67: Chieftain build | PROPOSED DROP | Too broad: generic English/D&D word 'Chieftain'
Row 448: Merchant 2024 | PROPOSED DROP | Too broad: generic English/D&D word 'Merchant'
Row 449: Merchant 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Merchant'
Row 450: Merchant build | PROPOSED DROP | Too broad: generic English/D&D word 'Merchant'
Row 452: Messenger 2024 | PROPOSED DROP | Too broad: generic English/D&D word 'Messenger'
Row 453: Messenger 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Messenger'
Row 454: Messenger build | PROPOSED DROP | Too broad: generic English/D&D word 'Messenger'
Row 501: Nomad 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Nomad'
Row 502: Nomad build | PROPOSED DROP | Too broad: generic English/D&D word 'Nomad'
Row 567: Outlaw 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Outlaw'
Row 568: Outlaw build | PROPOSED DROP | Too broad: generic English/D&D word 'Outlaw'
Row 640: Philosopher 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Philosopher'
Row 641: Philosopher build | PROPOSED DROP | Too broad: generic English/D&D word 'Philosopher'
Row 644: Physician 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Physician'
Row 645: Physician build | PROPOSED DROP | Too broad: generic English/D&D word 'Physician'
Row 747: Savage 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Savage'
Row 748: Savage build | PROPOSED DROP | Too broad: generic English/D&D word 'Savage'
Row 752: Scholar 2024 | PROPOSED DROP | Too broad: generic English/D&D word 'Scholar'
Row 753: Scholar 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Scholar'
Row 754: Scholar build | PROPOSED DROP | Too broad: generic English/D&D word 'Scholar'
Row 781: Scout 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Scout'
Row 782: Scout build | PROPOSED DROP | Too broad: generic English/D&D word 'Scout'
Row 866: Stalker 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Stalker'
Row 867: Stalker build | PROPOSED DROP | Too broad: generic English/D&D word 'Stalker'
Row 1025: Water 5e | PROPOSED DROP | Too broad: generic English/D&D word 'Water'
Row 1026: Water build | PROPOSED DROP | Too broad: generic English/D&D word 'Water'
